Unnamed: 0,reviews,sentiment,entities,review_length
10,surprised receive confirmation preflight 69 kg luggage allowance later confirmed one 23 kg checked another 23 kg carry seat third 23 kg carry overhead stowage checkin opened bit late line executive club member even later courteous efficient long queue passport control fault brexit ba seat screen earphone socket charge point seat recline boarding music low cost carrier captain announced wonderful service emily crew maybe club class economy cabin announced would serve complimentary water snack snack came also announced would free text messaging exec club member couldnt get work although member snack sold twice tui price example cadburys chocolate finger 350 chose ba time booked cheaper charter carrier british mustnt forget ba impeccable safety record normally reliable service landing purser thanked crew hard work seems pushing one small cart aisle four hour constitutes hard work ba least time,positive,[],903
11,flight cancelled refunding money saying took flight never happened refunding new flight booked hotel food stranded provide food water waiting hour tarmac provide information arent refunding flight never happened saying information,positive,[],230
12,visa issue hence debarred flying ground staff mumbai excellent woman named brinelle helpful understanding rebook ticket original journey consisting 3 leg ba forced rebook entire ticket system allow rebook one leg even though gap 13 day two leg like connecting flight telephone operator rude took 45 minute kept saying needed 34 minute give clarity horrendous final price offered rebooking 2 3 leg much original fare 3 leg torturous ba horrendous website allow poor experience,positive,[],475
13,singapore heathrow ba two choice route a380 777300 economy premium first isnt much club world 777 win suite check easy security passport control singapore efficient choice 3 lounge ba qantas qatar latter win easily ba lounge ok major negative qantas win space boarding time aircraft high density club world cabin service fine club suite good food beverage targeted feel 1st meal starter good main beef fillet average sentiment cheese wine acceptable champagne choice cheap try service meal efficient given full cabin breakfast similar menu suggested might want skip main course opt starter dessert work ba major shift lounge option sourced presented would needed slept well arrived early luggage quickly reasonable flight overall warning ba food beverage club world drifting wrong direction,positive,[],790
14,recently travelled munich london british airway turned absolute nightmare trouble began malfunctioning app despite checking successfully unable retrieve boarding pass upon arrival airport discovered selfservice kiosk checkin desk completely unattended seeking help information desk directed staff member clearly want assist u dismissive attitude infuriating despite showing app indicating checked simply told u call customer service walked away without providing assistance put hold 25 minute sent several different staff member couldnt help u finally reached someone phone kind ultimately powerless resolve issue point flight delayed wasted two hour trying print boarding pass followed complaint british airway basically dismissed concern told use app next timeignoring fact apps failure caused problem first place experience cost u staggering 68243 additional expense including new flight hotel stay taxi fare fine missing work explaining absurd situation employer incredibly embarrassing british airway clearly need improve customer service technology app website going fail must provide adequate support airport never fly urge others consider alternative airline,negative,[],1166
15,paid seat 80 b flight heathrow boston a380 paying premium economy seat upon arrival airport ticket agent said healthy enough sit purchased seat due old presume 65 since reason find could sit exit seating healthy enough walk 1012 mile day adequate upper body strength attempting convince got u stuck cattle call seat rear aircraft second floor middle two seat row told money would refunded immediately inconvenience several week recontacted ba said complaint went wrong section forwarding next section 6 week later still heard update except computer response stating refund returned 3 week keep waiting plane ground difficulty needed quick repair completed 30 minute later boarded flight captain came said look like forgot order ground crew back u terminal needed wait another 30 minute able make lost time air landed 15 hour later scheduled wreaking havoc next flight,positive,[],867
16,flight wasnt bad although inflight entertainment wasnt great screen oldfashioned hard operate dark touch screen wasnt working time though remote cabin crew slamming air larder oven draw apart cabin crew nice food good seat comfortable,positive,[],234
17,decided treat teenage daughter world traveller plus return leg canada holiday paying hundred pound extra end spending nine half hour trapped broken seat staring blank screen entertainment system failed work hadnt bought book uploaded film assumed would enjoying entertainment ba promised decided lie back get rest instead discover leg rest seat didnt work flight attendant able prop manually shoving thing underneath unfortunately made matter worse became firmly stuck position forcing body awkward position descent keep seatback upright leaving back pain lasted three day bad lower back early experience asked moved economy could sit normally watch film flight full space apologetic flight attendant assured would receive compensation assumed meant airline would least upgrade u next time flew ba since unable enjoy advertised benefit world traveller plus two u one suitcase hadnt made use extra baggage allowance ba actual compensation offer 25 worth avios point wrote back since ba doesnt allow direct telephone contact complaint department explaining firmly politely fair acceptable given hundred extra pound id paid added extra airline failed deliver ghosted experience cautionary tale british airway customer support go plan may well pleasant world traveller plus experience anything go wrong support staff wash hand money wasted unless youre prepared gamble would advise either stick economyworld traveller since youre really paying fly b manage fly another airline could end like throwing away extra money experience fell far standard economy class flight canada would recommend airline air canada turned uncertainty covid pandemic exceptional customer service fast nononsense refund cost bit life returned normal postcovid started flying ba believing high standard customer service longer important see mistake false economy one ended costing hundred wasted pound,positive,[],1872
18,impressed efficient boarding relatively compared air canada comfortable seat quality food drink snack frequently offered overall fuss bother experience,positive,[],151
19,flight scheduled 1840 left 2hours 40 minute alter due late arrival incoming aircraft naples result missed connection istanbul dubai nothing unusual issue acknowledged captain plane late since morning flight rome rolling effect evening case whey ba contact passenger could made arrangement fly early istanbul miss connection resulting 300 charge long delay ba certainly lot staff could informed using email text obviously passenger utility ba ticket purchased trust ba travel poor handling simple matter,positive,[],502
20,flying ba 15 year american airline ff gave ba gold member ba 10 year thing noticed last 5 year ba flight attendant getting lazier complacent cleaning bathroom serving meal food ba deteriorated point able eat garbage give gold status almost meaningless big scheme thing never able upgrade business first using avios point accumulated transcon flight fly ba partner american airllines easily get europe switched back aa ff program already much better ba used splendid airline another poor airline european market,positive,[],510
21,arriving mexico airport told flight delayed aircraft broken replacement aircraft lhr six hour late eventually managed check told contrary ba website could access 24hour grand lounge elite instead would use american airline admiral club lounge would close three hour flight left would use restaurant given food voucher two hour flight due leave informed aircraft diverted cancun volcanic ash cloud mexico city although appear affecting flight airport including europe eventually arranged taxi take u hotel arrived 130am assured would ba flight leaving time following day contact local employee stayed hotel said organise transport refused give u contact detail eventually need transport following day disappeared night sent email telling u booked onto air canada flight leaving 630am would impossible short notice without canadian epa authorisation spent two hour trying make contact ba mexico number work eventually put aeromexico flight economy told u check soon could meant pay extra 200 seat later long call told could upgraded business aeromexico despite told earlier availability ba informed u already checked suggested could moved took three call aeromexico sort totally understand aircraft break onus airline rearrange passenger lucky took trouble making call uk others disabled lady told nothing left,negative,[],1308
22,flown british airway many year still regularly one last flight past summer paris boston british booked connecting flight paris london gave maximum 90 minute connect london london heathrow massive airport going terminal terminal could take 2030 minute deplane including actual time deplane seated back line passport control security terminal already one pressed time flight paris london day tardy 49 minute tardy day exact ba flight 323 fact routinely tardy dont bother one flight connection assisted calling new gate let know previous flight delayed rushing gate 30 minute connecting flight depart ran like fool 25 minute carryons arriving gate 5 minute flight depart greeted plane agent said since one knew false plane left without early gaining minute important passenger inconvenienced delay made 20 minute trek back flight connection knowing would rebook following day going miss wedding destined attend boston sent prepaid hilton hotel room night told would pay 30 pound way taxi take gave pamphlet instruction reimbursement early july took 4 month complaint british centre effective dispute resolution reimbursed equivalent 77 apology recognition even free drink coupon next flight wont ever take british like bad insurance claim british kept denying claim expecting would go away well going away im taking 77 using another airline future travel,positive,[],1351
23,bought ticket genevalondon flight got airport told airline oversold ticket flight passenger earlier cancelled flight given seat flight explanation allowed,neutral,[],154
24,appalling service failing defective fleet a380 aircraft flown four time route return significant delay 2 26 hour every time ba56 boarded 620pm 13 october flight cancelled technical reason six hour return custom recover bag ba management johannesburg night four hour organise hotel transfer queue 300 people check room eventually accessed 430am attempt reschedule assist pilot trying announce process,positive,[],399
25,british airway charge pleasure choosing seat put back club turned advantage meant could get seat without climb anybody seat clean later discovered foldout section would stay foot dangled edge bed extended boarding complete told departure delayed ba loaded cargo told delayed fault one fuel pump took five hour problem corrected pilot later informed u installed new pump initially thought software issue time served meal told alcohol permitted curious given already served predeparture drink cabin crew male apparently based mexico turned pleasant surprise given spoke incredibly positive friendly seemed embarrassed happening knew oldstyle seat le acceptable ba petty penny pinching competition smallest hot towel ba would winner food sounded nice looked impressive seemed totally tasteless,positive,[],790
26,wrong guy people pay lot money business class ticket sit squeezed seat legroom nothing clean overhead locker empty want put bag seat room leg anymore serve food rubbish staff demonstrates british arrogance manner decent polite service anymore really difference easyjet european route,positive,[],283
27,booked two business class seat british airway july 2024 flight september 19 2024 told september 19 heathrow airport flight cancelled could one business seat another flight different airport one british airway contacted u apologize offer refund business class seat lost filed complaint british airway asked reimbursement september 21 heard word october 11 2024 worst flight experience ever terrible customer service zero communication customer even find phone number call british airway website,negative,[],493
28,ive flown many airline recent experience british airway left much desired inflight entertainment underwhelming disappointed lack basic amenity comfort kit essential like eye mask positive aspect slightly generous legroom overall found service far expectation impressed,positive,[],268
29,recently flew new york back london ba wasnt first long haul however first time travelling world traveler plus boarded aircraft time stress free first impression good cabin clean leg room good recline seat generous combined footrest quite comfortable waiting seat decent quality cushion blanket well amenity kit amenity kit contained good headphone sock eye mask lip balm pen toothbrush toothpaste boarding complete offered pre departure drink orange juice water champagne option crew friendly professional upmost ensure everyone happy air offered hot towel another round drink time lot selection drink offered several time throughout flight menu also handed long take starter quinoa main choice chicken meatball pasta vegetarian mushroom dish chose meatball really good real complaint flight people getting dish wished sat last row premium economy cabin time meal service got u chicken dish gone moral story sit front cabin likely get preferred meal option meal chose watch show well sized entertainment screen ba definitely best inflight entertainment finally hour landing served breakfast snack come form warm egg swiss cheese bagel edible also little soggy didnt really taste much certainly wont craving one anytime soon touched heathrow time disembarking aircraft picking bag everything efficient way time,positive,[],1309
30,ba business class europe seat economy simply empty seat next many true benefit flight meal lounge access priority security etc problem flight small child aged around five sang incessantly extremely loud voice throughout flight aware difficulty flying child know difficult keep entertained etc patient person headphone parent child chose despite polite request try quieten child point one expectation crew step singling loudly disrupting passenger would quite rightly ask desist speak parent child disrupting rest sleep passenger instead served meal crew retreated behind curtain left passenger stew simply good enough wifi forget,positive,[],629
31,flight started seattle wa heading lisbon portugal 10 hour flight 2 hour layover boarded flight ba502 lisbon heading runway plane stopped pilot said small mechanical issue mechanic route hour tarmac flight crew announce going offer complimentary water really another half hour go say flight cancelled reason time wait bus remove passenger plane announce staff member back gate help meal voucher taxi ride hotel accommodation get bus line passenger trying figure whats happening staff hand wife 10 meal voucher say go upstairs someone help issue go upstairs nobody know one staff member hand u paper hotel room tell u get luggage keep receipt taxi reimbursed nothing else asked another flight said contact asap contact walked away grabbed luggage headed taxi line driven hotel receive email flight next day different airline iberian assigned seat together get hotel barely fit shower double bed im 63 230lbs wife crazy get little sleep nothing eat another taxi ride airport tried use meal voucher good prior day went first customer service line didnt authorization issue new voucher finally third customer service line someone issue u new voucher finally made destination day half later still pay room didnt even use cancellation ba refuse reimburse u first night missed filed claim ba nothing far never fly ba,positive,[],1308
32,british airway flight edinburgh got delayed 1 h 30 min connecting flight part ticket literally run next connecting flight british airway lhr delhi bonus trouble surprise landed delhi got know luggage missing assured luggage delivered address today 4th oct received yet shown luggage bbi air port apply leave collect detail point contact enter air port without ticket sort trouble face,negative,[],384
33,british airway world traveller plus premium economy product need improvement justify high cost economy yes seat leg room far superior flight crew excellent however lunchdinner average wine selection poor like airline ba provides revolting snack prior landing snack served economy choice entertainment also requires improvement ceo sean doyle serious elevating ba one one world best airline work needed provide better customer experience,positive,[],436
34,ba barely step low cost airline try dime nickel everywhere possible found select seat check anymore baggage next time go low cost carrier since virtually difference anymore,positive,[],172
35,happy flight crew hadnt plane 20 year stressed made comfortable want say thank flight crew helping relax go back france im going british airway,positive,[],143
36,horrible service boarding landing flew london marrakech disappointed arrangement boarding food horrible staff arrogant seat super uncomfortable 3h40min flight business class today taking flight marrakech london recommend,negative,[],220
37,wife disappointed flying british airway flight 912 cancelled airline flying addition seat changed multiple time without explanation people working rude customer oriented,negative,[],169
38,flew ba heathrow berlin one way connection experience ba ground staff heathrow good friendly helpful check baggage drop crew flight also good captain provided general information welcoming suitable casual efficient way flight steward also friendly handed water small snack chocolate bar unexpected 1 hr 20 min flight seating typical class aircraft ticket cleanliness optimal could improved memory slightly delayed departure heathrow slightly reduced arrival berlin issue u berlin destination connecting concern baggage arrived safely berlin understand ba negative review customer experience occasion positive would happily recommend use ba,positive,[],639
39,absolutely disgusted ba flight cancelled 1 may ba even though flight still departed connecting flight manchester heathrow cancelled due weather could get compensation flight turn get compensation flight seattle either even though ba actually cancelled u never fly,negative,[],263
40,took trip nashville wife leisure break arrived t5 directed club world check zone left terminal zone seemed way small number passenger check process painfully slow queue non premium cabin seemed much effectively managed bite eat departure lounge plenty food option even though busy flight departed furthest away satellite gate c annex boarding managed efficiently seat 4a club suite section lot space comfortable crew 40 average friendly attentive chose salmon dish glad 3a run row 4 entertainment little disappointing term latest release movie meal prior landing taste skipped flight landed right schedule complaint basis,positive,[],621
41,nightmare journey courtesy british airway worst flight experience 50 year flying booked ba470 scheduled depart heathrow 1205 5 sept boarded 15 hr late despite plane gate wait crew arrive approximately 1hr flight pilot advised weather radar wasnt working would returning heathrow circled approx 45 min landing member staff present offer advice alternative flight customer service desk stated would deal await email email finally arrived hour husband fortunate enough allocated seat 2115 flight time boarded approx 2 hr late plane gate wait crew result around 300 reached venice long wait taxi meant didnt reach hotel beyond mestre 400 weve since learnt ba cancelled hundred flight past several day claiming bad weather yet according flightradar 24 airline flying heathrow cancelled flight,negative,[],787
42,absolutely atrocious lhrordlhr roundtrip british airway truly disgrace national airline eight seat first class would think could provide genuine white glove experience instead crew first class way inattentive illmannered badly trained one get better service mcdonalds ba new first suite small uncomfortable cubicle mile behind premium class airline movie selection poor wifi work properly amenity kit tiny cheap airplane dirty clearly cleaned haste food served first class grim especially bad ordlhr sector crew sector spent time galley disappeared meal service overall british airway continues decline one wouldnt fly alternative add insult injury ba fly chicago international terminal decided ordlhr return fly american airline terminal 3 including use aa dreadful flagship lounge t3 course nothing change government given ba virtual monopoly ba continue mediocre leadership care cost share portfolio,negative,[],902
43,someone fly relentlessly british airway business pleasure generally routing gold frequent flier weve come accept shocking food service exorbitant price outdated plane get plane primary role crew safety however said crew look like fallen bed dress properly case men find razor question ability react emergency situation enough said,negative,[],330
44,flew british airway club europe saturday 31st august poor lounge berlin brandenburg airport emailed say flight delayed explanation announcement made staff lounge told delay airport info screen updated email said keep checking online update flight took 99 minute late explanation late arrival plane departure rushed service arrival lhr quickly passport control almost hour wait baggage arrive carousel announcement due delay meaning arriving home 3 hour later arriving,negative,[],467
45,straightforward check t5 new site club check work well lounge busy good food offering time departure completely full flight cabin sound food drink offered exception inferior quality champagne crew coped well busy quite short flight slept hour afternoon tea food good portion small early landing luggage quickly,positive,[],310
46,beyond upset disgusted disregard lack knowledge lie company put call different representative lead help nothing resolved false information due longer able fly original flight called spoke someone gave new reference number could book later datedestination change name close family member pas away suddenly offered mother ticket fly funeral told could change name calling trying got told unable unless proved sending death certificate stated policy questioning wanting get false information made representative double check confirm troubling aunt uncle grieving sudden loss son cousin documentation sent email provided called get changed mother name found yet another lie done change name ticket holder passed away make sense would dead challenge name change expressing feeling mistrust would taking longer wanting anything company told wasnt allowed refund allowed book later date challenged representative speak manger told none working gone home one direct email putting formal complaint 5 month ago still response called back use money book new flight say couldnt le amount even saying fine keep remaining money allowed book amount scam get money asking speak manager shock horror isnt one working looking status complaint said back log get eventually say lot back log complaint longer 5 month told nothing beyond appalled hurt frustrated whole experience spreading word story every known platform review website possible till speak someone genuinely know talking come mutual agreementresolve issue information told leaf believe company doesnt care customer care money profit,negative,[],1577
47,purchased round trip direct flight business class ticket family hong kong london day trip airline cancelled return flight without giving reason booked u flight routing via doha gave u 2 hour layover day departure flight delayed 2 hour result crew shortage getting flight enquired whether wed able make flight told given many passenger flight doha hong kong flight would wait arrived told flight already departed next flight available 6 hour later wait 1 hour get boarding pass given access lounge airport hotel flight reached make complaint ask monetary consideration given experience airline responded month paid direct flight premium seating experience overall poor,positive,[],667
48,booked two business class seat medical emergency couldnt make first leg trip wanted rebook outgoing flight told entire travel cancelled cost 10k course know ba turned around resold return ticket,positive,[],194
49,although four flight delayed service offered ba exceptional food drink offered domestic international sector extremely good attention cabin crew disorganised boarding return newark ba lounge service newark excellent overall good satisfying trip,positive,[],244
50,flight changed one day british airway titan flight delayed 2 hour meal served entertainment flight changed titan way back,neutral,[],121
51,delayed flight 1 hour arbitrary cancellation paid reserved seat response formal complaint explanation flight back london cancelled giving 3 day notice reason given alternative flight offered two day later travelling son daughter,negative,[],228
52,flown ba four time anxious traveller cant recommend enough constant update pilot delay cabin crew brilliant every time always use ba future,positive,[],139
53,may never see refund cancelled return flight sent refund pakistan told must pakistani credit card forgot used purchase flight took 3 call admit pakistan card wasnt mine sent someone else money calling 12 total time 3 month finally sent half refund told dont owe anything told owed 132 700 ticket sent pakistan owe half 75,negative,[],321
54,cargo service thats felt a380 upper deck supposedly nicer main deck business packed 232 configuration head tail ba love configure seat make money failed enjoy business class feel like worth money lieflat seat narrow lowering foot restthe foot rest person aisle aisle step crawl get aisle one get couple fitful hour sleep luck seat control a380 primitive antiquated food served bit better coach minimally wellcooked dead supposedly scottish salmon salad tough bit green id paid coach price id sort pleased business class ba continues hoover money flyer pocket minimal qualityand charge higher grade customer privilege choosing seat advance 24 hr checkin newer plane traditional allfacingforward business classbut many really gamble whether youll get pod business simply lieflat space next many newfound friendsand awakened really time ba either reduce business class price reflect mediocre product step reallocate space normal business pod seat fleet,positive,[],949
55,inefficient slow airport operation resting laurel many staff standing around little terminal 5 yet completing basic task return three time properly document check fee bad ryanair extra average somewhere easyjet ryanair presumably thats theyre aiming,negative,[],249
56,customer service one worst ever seen scheme give untruth allowed original flight technical issue end call airline could anything counter 600 additional later booked next flight 12 hour paid service original flight asked moved nothing happened pay service next second connecting flight sat tarmac two hour deplaned midnight without going anywhere even give u hotel spend night airport gave u flight enxt day london zurich three connecting flight hour gap london brussels amsterdam zurich absolute nonsense first flight delayed course missed connection would pick phone help u nothing zero help ba spend 10 hour brussels ariport sorting buying new ticket 2500 point zero response ba reimburse u planning final flight india zurich also delayed sat tarmac 2 hour flight finally took cost,positive,['zurich'],783
57,flight forced ground staff check new expensive cabin luggage despite fact met size requirement informed plane full assured staff luggage would well taken care unfortunately bag returned scratched damaged completely unacceptable especially given assurance received lodged complaint fell deaf ear acknowledgment resolution british airway funny thing overhead locker empty experience extremely frustrating disappointing lack care customer property customer service glaring,negative,[],469
58,british airway best outstanding service flight attendant dinner good though breakfast could better excellent ife lie flat seat extremely comfortable pleasant flight board a350,positive,[],175
59,excellent flight despite 45 hour flight a320 configured short hop edinburgh glasgow despite ife ended really enjoying flight dont know really low expectation thought crew fabulous food wine surprisingly good plane looked new perfect condition start really liked crew cheerful genuine clearly enjoying work noticed constantly friendly proactive interaction passenger food drink came around generous wine happily provided topups later flight food box deceptively small actually contained decent selection food enough keep feeling satisfied trip regular detailed update cockpit also appreciated whilst hard product flight limited service genuine enjoyment crew,positive,[],657
60,recently traveled british airway mixed experience booking checkin booking process straightforward experience baggage counter frustrating line three employee counter took 45minute break processing luggage caused unnecessary delay flight flight london fine enjoyed time lounge layover despite delay connecting flight dfw also fine baggage issue unfortunately luggage make onto flight dfw arrived dfw wednesday 8724 81124 still received luggage customer service disappointing aspect customer service dismissive one taken responsibility provided timeline bag delivered overall flight okay baggage handling customer service horrible,negative,[],627
61,family booked leave london hong kong 2 august made wait airport 35 hour told midnight aircraft bee struck lightning flight cancelled everyone sent home scramble find transportation told wait rerouting information booked travel two day later hk via middle east 8hour stopover needle say refused flight worst trick ba original flight booking reference deleted system therefore apply compensation additional transportation hotel meal cost find word express anger much apology received,negative,[],481
62,change aa ba flight london missed connection flight ok process bag delayed waited 2 day destination reading regular unhelpful update ba receiving luggage finally return airport twice pick personally one lifted hand take carousel waited 3 month counting claim processed absolutely worst experience ive 50 year plane travel company cleverly designed website phone tree deter contact live chat guide asking want chat booking something else spite entering option asking booking take anyway like baggage carousel one attending caring least im alone judging number similar complaint terribly treat customer,negative,[],600
63,paying 6500 ticket family including pay 400 sit together traveling kid ran chicken dinner kid picky wont eat vegetarian curry dont mind curry fact thought pretty good least maybe feed kid first check dont understand run pay much explanation airline greedy try save nickel make everyone happy im disappointed british airway,positive,[],322
64,excellent flight ba cityflyer plane clean comfortable spacious crew friendly pleasantly surprised offered choice complimentary alcoholic beverage one hour flight departure ontime appreciated cockpit keeping u updated encouraging u enjoy view came land london city easy enjoyable flight,positive,[],285
65,crew amazing attentive nothing missed definitely choose ba future also praise food choice sufficient delicious short business flight,positive,[],132
66,flew internationally first time life delay end missed connecting flight destination asked help ahead time told run next gate needle say missed flight three british airway employee customer service desk next line heathrow two went break despite evergrowing line due multiple people missing flight airline similar circumstance 45 additional minute waiting assistance given receipt boarding pas caused issue next connecting flight barcelona rome coordinated british airway outbound trip return trip british airway flight ended landing 15 minute late landed connecting flight boardingdownstairs exit gate denied entry connecting flight 15 minute past time started board delay british airway boarding didnt close hour didnt leave another hour half later according notification phone instead helped denied entry missed beginning boarding 15 minute due connecting flight delay waited customer service line heathrow reschedule flight already boarding pas hand still havent made final destination recommend heathrow airport either british airline employee came saw upset denied board return flight asked happened solution problem fly british airway future thanks lot lady already figured given 10 meal voucher bus voucher hotel voucher due many inconvenience flown airline ever life issue thankfully checked bag speak effect,negative,[],1315
67,ba subsequent delay postponed departure time initial 2035 2300 passenger gathering already assigned gate crew ready board aircraft ready outside decided cancel flight reason provided intercom absence pilot passenger told hotel could booked everyone note therell follow rage mounted amongst u brit done without response others reason insist till 1 crew kept saying rebooking possible apart automated one expected u cross europe get destination hotel booking power either well liar hour pushing raging one person came hotel booking roughly 30 u kept fighting liar also another reason one angel told u way rebooked one took apart suggested way worked meant breaking rule made mess sort 3 hour sleep 24 hour managed get back im 100 committed avoid ba much shall able clerk told impossible working cut save money company run pretty bad financial water hub heathrow almost presence passenger checking bag bag drop spending hour phone expense ba mess frequently lately pity seeing decay time change leadership team ceo,negative,[],1011
68,embarrassing word british attached airline service substandard every way possible exception food couple stand staff accept delay technical problem happen handled opinion responsible left everyone plane 4 hour midnight disembarked saying hotel available staff unload luggage plane inevitable people young child elderly left fend several time mentioned dont worry duty care really none singapore london flight wifi enabled cram 8 business class seat across width comfort service reflect price well leading airline avoid cost,positive,[],522
69,flight cancelled due bad weather ba contacted email immediately provided alternative booking well link suggestion different flight wasnt convenient clicked link assisted promptly service rep rebooked sent detail within minute great customer service bawell done,negative,[],260
70,british airway oversold lhr lax flight booked month advance paid full actually paid 1000 extra fly airbus a380 tried check online day flight got unknown system error couldnt check arrived lhr 35 hour early none ba kiosk worked manual check understaffed ba staff unhelpful insane queue time lot frustrated passenger line denied boarding gate flight oversold explanation apology constantly ignored ba staff dont patience listen situation helpful finally gate manager book alternate flight paris cdg supposedly connect air france flight get cdg told air france flight full idea ba manager bumped af flight thats also full thats insult injury bumped twice went ba desk cdg help told u call ba couldnt even provide phone number told u look online top luggage lost somewhere ba af paris cdg im american citizen speak perfect english feel completely humiliated treated like second class citizen multiple ba staff whole ordeal mostly ignore bounce one counter another without even trying listen problem zero accountability never ever fly ba absolute worst travel experience life,positive,[],1070
71,travelled london doha july 16th physically check ba business t5 ongoing connection doha flight code share qatar paid flight qatar paid seat online could sit like sit got check discovered reseated elsewhere cabin told policy basically shut discovered ba recognise qatar frequent flyer rule despite sharing avios point im gold card holder qatar affords extra kilo baggage ba tried tell pay arguing eventually accepted lounge packed staff le helpful tried get answer seat reassignment told would get money back chance dont even try flight boarded bus journey took 15 minute get terminal aircraft guessing another terminal took long get board u terminal rather drag u airport finally got onto plane ba staff friendly wonder ranked 13th realise privilege allowed step onto ba flight departed 90 minute late many traveller connection meant either going miss connection would manage make connection luggage wouldnt would ba flight crew help board figure connection eventually came tell haughty attitude landing 15 minute earlier give full 50 minute make connection landing early mean getting gate earlier usually take least 10 minute landing gate another 7 jetway attached lucky sitting near door straight 20 minute disembark want helpful dont say stupid thing people frequent traveller turned sitting near door run plane qatar assist run gate way c gate make connection short distance 70 year old luggage make many others fortunate didnt make connection put page flight entertainment connection going provide information public information look line aircraft access wifi satellite communication fail understand information captured displayed complained ba got wishy washy email number excuse mention seat refund got paltry voucher im supposed use another ba flight kidding sure want experience however recently discovered frequently travelled destination really serviced ba want fly reasonable hour day go europe avoid expensive consider one worst airline ever flown getting worse minute fly absolutely good luck,positive,[],2006
